２/に	ヲ格,ガ格#ト節,ガ格
食い荒らす/くいあらす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
食い縛る/くいしばる	ト節,ニ格,ヲ格,ガ格
食い違う/くいちがう	ガ格#ガ格#ガ格#ト節,ガ格#ト節,ガ格
食い潰す/くいつぶす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
食い下がる/くいさがる	ニ格,ガ格#ト節,ニ格,ガ格
食い繋ぐ/くいつなぐ	ガ格#ガ格#ヲ格,ガ格#ガ格
触れる/さわれる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
触れる/ふれる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
触診/触診	ヲ格,ガ格#ヲ格,ガ格
食い千切る/くいちぎる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
食い入る/くいいる	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格
触れ合う/ふれあう	ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
触れ合える/ふれあえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
食い込める/くいこめる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
食い付く/くいつく	ニ格,ガ格#ニ格,ガ格
食い込む/くいこむ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
食い止める/くいとめる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
食す/しょくす	ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
食せる/しょくせる	ヲ格,ガ格#ガ格
食って掛かる/くってかかる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格
食する/しょくする	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格
繰る/くる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
刳る/くる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
食う/くう	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
食える/くえる	ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ガ格#ガ格#ガ格#ヲ格,ガ格#ニ格,ガ格
食する/しょくする	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
食す/しょくす	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
食う/くう	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
食べる/たべる	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
食み出る/はみでる	ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ガ格
食み出す/はみだす	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格
食べ歩く/たべあるく	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
食らい付く/くらいつく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
食む/はむ	ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
食事/しょくじ	ニ格,ガ格#ガ格#ガ格#ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格
食らう/くらう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
延ばせる/のばせる	ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
伸ばせる/のばせる	ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
尻込み/しりごみ	ト節,ガ格
伸し上がる/のしあがる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
熨す/のす	ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ニ格,ガ格
伸す/のす	ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ニ格,ガ格
蝕む/むしばむ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
辱める/はずかしめる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
伸す/のす	ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
伸ばせる/のばせる	ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
伸し掛かる/のしかかる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
延ばす/のばす	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
伸ばす/のばす	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
伸ばす/のばす	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
信/しん	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格
伸縮/しんしゅく	ニ格,ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ガ格
伸び伸び/のびのび	ガ格#ガ格
伸び悩む/のびなやむ	ガ格#ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
伸長/しんちょう	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格
延びる/のびる	ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格
伸びる/のびる	ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格
信じる/しんじる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格
伸びる/のびる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
信ずる/しんずる	ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格
信じる/しんじる	ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格
信託/しんたく	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
信奉/しんぽう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
侵攻/しんこう	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
犯す/おかす	ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
冒す/おかす	ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
侵す/おかす	ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
信ずる/しんずる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格
信用/しんよう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
侵す/おかす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#によって,ヲ格,ガ格
信仰/しんこう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
侵犯/しんぱん	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
侵食/しんしょく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
侵略/しんりゃく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
寝かす/ねかす	ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格
寝かせる/ねかせる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ガ格
寝そべる/ねそべる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
侵入/しんにゅう	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
寝惚ける/ねぼける	ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
寝坊/ねぼう	ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
審/しん	ニ格,ヲ格,ガ格
寝返る/ねがえる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
ね	ガ格
寝る/ねる	ガ格
寝泊まり/ねとまり	ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格
審議/しんぎ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格
寝入る/ねいる	ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格
審査/しんさ	ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
寝静まる/ねしずまる	ガ格
寝転ぶ/ねころぶ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格
寝る/ねる	ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格
心得る/こころえる	ガ格#ヲ格,ガ格#ガ格#ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格#ヲ格,ガ格
心中/しんじゅう	ガ格#ト節,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
心する/こころする	ト節,ガ格#ニ格,ガ格#ガ格
心温まる/こころあたたまる	ニ格,ガ格#ニ格,ガ格#ト節,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
心惹かれる/こころひかれる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
審理/しんり	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格
心する/こころする	ニ格,ガ格#ガ格#ト節,ガ格
心す/こころす	ニ格,ガ格#ガ格#ト節,ガ格
心掛ける/こころがける	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格
心変わり/こころがわり	ガ格
振り向ける/ふりむける	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振り絞る/ふりしぼる	ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
慎む/つつしむ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
振りかぶる/ふりかぶる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振り込める/ふりこめる	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
振り撒く/ふりまく	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
振り込む/ふりこむ	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
振り下ろす/ふりおろす	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振り向く/ふりむく	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振り落とす/ふりおとす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振り替える/ふりかえる	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
振り乱す/ふりみだす	ニ格,ヲ格,ガ格
振り付ける/ふりつける	ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
振り切れる/ふりきれる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
振り返れる/ふりかえれる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格#ヲ格,ガ格
振り替える/ふりかえる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格
振り返る/ふりかえる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格
振り出す/ふりだす	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
振り切る/ふりきる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
振り払う/ふりはらう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
振り翳す/ふりかざす	ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振り分ける/ふりわける	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#によって,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
振り返る/ふりかえる	ニ格,ガ格#ニ格,ヲ格,ガ格#ト節,ヲ格,ガ格#ト節,ヲ格,ガ格#ト節,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ガ格
振る舞える/ふるまえる	ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
振るえる/ふるえる	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格
降れる/ふれる	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
触れる/ふれる	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
振れる/ふれる	ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
振れる/ふれる	ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
振るう/ふるう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
降る/ふる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振る/ふる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振る舞う/ふるまう	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
振る/ふる	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
振興/しんこう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
振込/ふりこみ	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格
振替/ふりかえ	ニ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ガ格#ニ格,ガ格
新造/新造	ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格
